# AIRA Prototype — Build Log (feature | status | model | notes)

[2026-09-13 09:51] FEATURE: Project scaffold + directory setup | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Created backend/ and frontend/ directories, wrote chatlogs.txt with header.

[2026-09-13 09:52] FEATURE: Backend database models (SQLAlchemy) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Wrote database.py with User, Course, Module, Lesson, Quiz ORM models and get_db dependency.

[2026-09-13 09:53] FEATURE: Backend Pydantic schemas | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Wrote schemas.py covering all request/response shapes for auth, onboarding, courses, and quizzes.

[2026-09-13 09:53] FEATURE: Backend auth helpers (JWT + bcrypt) | STATUS: Partial | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Initial auth.py used passlib[bcrypt] which crashes on Python 3.13 due to 72-byte password bug in passlib's bcrypt wrapper.

[2026-09-13 09:54] FEATURE: Signup + Login endpoints | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: routers/auth.py written with POST /auth/signup and POST /auth/login; signup returned 500 due to passlib bug (fixed in later step).

[2026-09-13 09:54] FEATURE: Onboarding endpoint | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: routers/onboarding.py written with POST /onboarding (saves profile) and GET /onboarding/me.

[2026-09-13 09:54] FEATURE: Topics endpoint | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: routers/topics.py with 15 AI topics and 15 QC topics; GET /topics?domain=AI|QC.

[2026-09-13 09:54] FEATURE: Gemini 2.0 Flash LLM integration | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: llm.py written with profession-aware prompt builder and JSON cleaner; uses google-generativeai SDK with gemini-2.0-flash.

[2026-09-13 09:54] FEATURE: Courses generate/list/get endpoints | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: routers/courses.py with POST /courses/generate (calls Gemini, saves to DB), GET /courses, GET /courses/{id}.

[2026-09-13 09:55] FEATURE: FastAPI main app + CORS | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: main.py registered all routers, added CORS for localhost:3000, and calls create_tables() on startup.

[2026-09-13 09:55] FEATURE: Backend venv + pip install | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Created venv and installed all requirements; all imports verified OK.

[2026-09-13 09:55] FEATURE: Next.js frontend scaffold | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: npx create-next-app@latest with TypeScript + Tailwind + App Router; completed in ~2 min.

[2026-09-13 09:57] FEATURE: Frontend API client (lib/api.ts) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Centralised typed wrappers for all backend endpoints with JWT token storage in localStorage.

[2026-09-13 09:58] FEATURE: ProtectedRoute + Navbar components | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: ProtectedRoute redirects unauthenticated users; Navbar shows login/logout links contextually.

[2026-09-13 09:58] FEATURE: Signup page (/signup) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Username + password + confirm form, calls backend, stores JWT, redirects to /onboarding.

[2026-09-13 09:59] FEATURE: Login page (/login) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Login form with JWT storage; redirects to /onboarding or /dashboard based on onboarding_done flag.

[2026-09-13 09:59] FEATURE: Onboarding page (/onboarding) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Single-page form with profession/level/domain/goal/style fields; interactive toggle buttons; saves to backend.

[2026-09-13 09:59] FEATURE: Dashboard page (/dashboard) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Lists past courses as clickable cards; shows empty state CTA when no courses exist.

[2026-09-13 10:00] FEATURE: Generate course page (/generate) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Domain → topic selection → Generate button with loading state during Gemini API call.

[2026-09-13 10:00] FEATURE: Course overview page (/course/[id]) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Shows course title/description, module/lesson tree with direct lesson links and quiz count.

[2026-09-13 10:00] FEATURE: Lesson reader page (/course/[id]/lesson/[lessonId]) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Renders all 9 content sections in order (intro, main explanation, how it works, etc.) with next-lesson and quiz navigation.

[2026-09-13 10:01] FEATURE: Quiz page (/course/[id]/quiz/[lessonId]) | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Question-by-question MCQ with answer reveal, explanation display, score summary, and full answer review screen.

[2026-09-13 10:02] FEATURE: Backend startup + health check | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Backend started on :8000, GET /health returned {status: ok} successfully.

[2026-09-13 10:02] FEATURE: Signup endpoint test | STATUS: Failed | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Returned 500 due to passlib bcrypt crash on Python 3.13 (detect_wrap_bug ValueError).

[2026-09-13 10:04] FEATURE: Tailwind v4 globals.css fix | STATUS: Worked | MODEL: Claude Sonnet 4.6 (Thinking) | NOTES: Replaced @tailwind directives + @apply with @import "tailwindcss" and plain CSS in @layer to fix Tailwind v4 compatibility error.

